brand,customer_message_volume,brand_response_volume,response_rate,unique_conversations,multi_turn_count,multi_turn_ratio,average_depth,avg_customer_msg_length,avg_brand_response_length,data_quality,norm_volume,norm_response_rate,norm_multi_turn,norm_depth,norm_quality,final_score
NikeSupport,3642,3468,0.9522240527182867,3642,1816,0.5236447520184544,2.4360241625480503,96.97144426139484,107.17387543252595,1.0,0.019541747206638066,0.7649120054391885,0.7402919757366845,0.7343170488237883,1.0,0.6258417530149283
ArgosHelpers,12174,12174,1.0,12174,5112,0.41991128634795466,2.4099720716280597,86.6509774930179,105.97412518482011,1.0,0.07084767337702136,1.0,0.5610392703087224,0.6781806736748103,1.0,0.6181174505029831
AppleSupport,106860,106860,1.0,106860,31689,0.29654688377316113,2.2952274003368895,69.82903799363653,136.61268950028074,1.0,0.6288482391212107,1.0,0.34786406429297734,0.43093180855570984,1.0,0.6163152288232773
GreggsOfficial,4522,4522,1.0,4522,1826,0.40380362671384346,2.3978328173374615,84.72158337019017,53.00132684652809,1.0,0.02575314695205318,1.0,0.5332050362082383,0.6520233208934655,1.0,0.5955168044315752
sainsburys,19466,19466,1.0,19466,7396,0.3799445186478989,2.377427309154423,88.30704818658174,120.58948936607418,1.0,0.11382065909198058,1.0,0.4919762038128802,0.6080540569297188,1.0,0.591967804348204
Uber_Support,56270,56270,1.0,56270,18478,0.3283810200817487,2.3282210769504177,76.66369290918784,110.07099697885197,1.0,0.330712837678563,1.0,0.4028738436481044,0.5020257339381009,1.0,0.5874098674177641
British_Airways,29361,29361,1.0,29361,10577,0.36023977384966455,2.358673069718334,101.10932870133851,124.36425871053439,1.0,0.17213356277403233,1.0,0.45792616227594196,0.5676429043718942,1.0,0.585333142111968
AirAsiaSupport,12829,12829,1.0,12829,4901,0.38202509938420764,2.3746979499571284,94.9685088471432,108.32192688440253,1.0,0.07470769883550987,1.0,0.4955714729329661,0.6021729039625275,1.0,0.5840475624394973
AskeBay,9686,9686,1.0,9686,3711,0.3831302911418542,2.3767293000206484,90.41658063183976,140.59942184596324,1.0,0.056185469803403894,1.0,0.4974812578928566,0.6065500048092455,1.0,0.5817914722903869
GloCare,6755,6308,0.9338267949666913,6755,3123,0.4950856055802156,2.395558845299778,97.6700222057735,105.03170577045022,1.0,0.036278346141153175,0.6743858165027667,0.6909414191860273,0.6471234244599039,1.0,0.578839943176573
GooglePlayMusic,804,804,1.0,804,312,0.3880597014925373,2.38681592039801,104.66044776119404,134.0497512437811,1.0,0.003842345952571779,1.0,0.5059993396499171,0.6282843948521737,1.0,0.5782251500559242
hulu_support,21872,21872,1.0,21872,7852,0.35899780541331383,2.3549286759326993,81.09189831748354,136.07973664959766,1.0,0.12799962283720712,1.0,0.45578002553180624,0.5595745809923458,1.0,0.5742488484254524
AsurionCares,1898,1898,1.0,1898,734,0.38672286617492097,2.3614330874604845,96.67439409905164,109.43888303477344,1.0,0.010289472443543444,1.0,0.5036892717673347,0.5735901195826442,1.0,0.5678826999354379
SW_Help,13215,12231,0.9255391600454029,13215,6055,0.4950535524486959,2.350510783200908,111.37215285660234,115.73681628648517,1.0,0.07118358398943944,0.6336053906996018,0.690886030980252,0.5500550194139131,1.0,0.5582346081146664
GWRHelp,21784,19364,0.888909291222916,21784,10217,0.5276285891344763,2.354709878810136,110.2523411678296,112.7442160710597,1.0,0.11321955589081137,0.453363179033396,0.7471760953061547,0.5591031225826752,1.0,0.5492900000932229
Safaricom_Care,16077,16077,1.0,16077,5679,0.3532375443179698,2.3155439447658144,77.4157492069416,80.58779623064004,1.0,0.0938487105747018,1.0,0.4458262234618779,0.4747093757112837,1.0,0.5474594842957604
MTNC_Care,784,784,1.0,784,281,0.35841836734693877,2.3469387755102042,60.25765306122449,106.08545918367346,1.0,0.0037244825797935035,1.0,0.45477874942139845,0.5423581491559287,1.0,0.545650151173564
AdobeCare,9917,9917,1.0,9917,3390,0.3418372491680952,2.338912977715035,70.04830089744883,127.97751336089543,1.0,0.05754679175899297,1.0,0.426126373128299,0.5250643665845744,1.0,0.5443601436072032
JetBlue,8020,8020,1.0,8020,2740,0.341645885286783,2.335660847880299,88.19812967581048,99.90473815461347,1.0,0.04636745085097355,1.0,0.42579569398608885,0.5180567608996188,1.0,0.5406235505459451
ChipotleTweets,18749,18749,1.0,18749,6154,0.3282308389780788,2.3209237826017386,61.17248919942397,73.43580990986186,1.0,0.10959525717787941,1.0,0.40261432885253695,0.4863017118475886,1.0,0.5399636924608546
OPPOCareIN,879,879,1.0,879,309,0.3515358361774744,2.340159271899886,51.88054607508533,139.6905574516496,1.0,0.0042843336004903115,1.0,0.4428856508505135,0.5277498492247841,1.0,0.5392725318202088
CoxHelp,7861,7861,1.0,7861,2662,0.3386337616079379,2.335453504643175,74.12810075054064,117.13993130644955,1.0,0.045430437037386265,1.0,0.42059070719588887,0.5176099830275643,1.0,0.5387852961717567
SouthwestAir,28977,28977,1.0,28977,8997,0.3104876281188529,2.3074507367912482,75.81602650377886,116.7512509921662,1.0,0.16987058601668945,1.0,0.37195384210472426,0.457270339419946,1.0,0.5370143377187444
sprintcare,22381,22381,1.0,22381,7009,0.31316741879272597,2.3111121040168,50.38412045931817,115.07926366114114,1.0,0.1309992456744142,1.0,0.3765845533719848,0.4651597593042455,1.0,0.5322071670073274
AskTarget,13218,13218,1.0,13218,4273,0.3232712967165986,2.3232712967165985,50.94250264790437,170.92835527311243,1.0,0.07700014143604733,1.0,0.3940441787827561,0.491360074856685,1.0,0.5318852968933733
AskRBC,1011,1011,1.0,1011,339,0.3353115727002967,2.335311572700297,62.538081107814044,143.568743818002,1.0,0.005062231860826929,1.0,0.4148499238740529,0.5173041517292052,1.0,0.5289282538802222
AskSeagate,639,639,1.0,639,210,0.3286384976525822,2.328638497652582,124.03442879499218,162.11267605633802,1.0,0.0028699731271510064,1.0,0.40331876805953326,0.502925181326167,1.0,0.5221546613085236
USCellularCares,1177,1177,1.0,1177,383,0.3254035683942226,2.3254035683942225,72.26762956669499,101.85131690739168,1.0,0.006040497854886615,1.0,0.3977287704856458,0.49595463900058606,1.0,0.5197176585167883
VirginAtlantic,4704,4318,0.9179421768707483,4704,1996,0.46225104214914314,2.338222789115646,111.46173469387755,99.21491431218156,1.0,0.02455094054971477,0.5962234099989203,0.63420288945001,0.5235771659503597,1.0,0.5191311701348019
Morrisons,10126,10126,1.0,10126,3201,0.31611692672328656,2.3064388702350387,82.4248469286984,98.14783725064191,1.0,0.05877846400452595,1.0,0.3816813393784758,0.45508999540170453,1.0,0.5172780936947888
Tesco,38573,38573,1.0,38573,10410,0.26987789386358335,2.268011303243201,68.69579757861717,138.98861898218962,1.0,0.226421432275706,1.0,0.30177972148785365,0.3722872628555427,1.0,0.5102756554726059
UPSHelp,17817,17817,1.0,17817,5268,0.29567267216703147,2.293146994443509,68.88213503956895,145.37222877027557,1.0,0.10410282400641177,1.0,0.34635341587780705,0.42644900346910003,1.0,0.5100163902584445
VMUcare,1381,1381,1.0,1381,447,0.3236784938450398,2.3026792179580013,59.15423606082549,91.13902968863142,1.0,0.007242704257225025,1.0,0.39474782043247636,0.4469887934175087,1.0,0.5092706456646896
ATT,2790,2790,1.0,2790,902,0.3232974910394265,2.2978494623655914,77.74086021505376,141.25017921146954,1.0,0.015546178869454528,1.0,0.3940894428950019,0.4365817603449596,1.0,0.5086524207113834
nationalrailenq,4582,4444,0.9698821475338281,4582,1729,0.3890639063906391,2.282409428197294,106.25185508511566,95.72592259225922,1.0,0.025293479798217906,0.8518010434204238,0.5077346180735699,0.4033119720179313,1.0,0.5084016844693856
AWSSupport,1035,1035,1.0,1035,325,0.3140096618357488,2.3130434782608695,61.4,129.4144927536232,1.0,0.00520366790816086,1.0,0.3780399597166381,0.4693214348277621,1.0,0.5083170084621761
GoDaddyHelp,1965,1965,1.0,1965,616,0.31348600508905855,2.3073791348600508,73.38676844783716,137.90941475826972,1.0,0.010684314742350667,1.0,0.37713507441320104,0.45711605342104333,1.0,0.5067005959566391
Delta,42253,42253,1.0,42253,11038,0.2612358885759591,2.2599105388966465,68.88796061818095,103.940785269685,1.0,0.2481082928669087,1.0,0.2868462299852175,0.3548319442882825,1.0,0.5066419164266035
marksandspencer,11504,11504,1.0,11504,3432,0.29833101529902645,2.294506258692629,95.6577712100139,112.7557371349096,1.0,0.06689925038894913,1.0,0.35094706552872634,0.4293779110968802,1.0,0.5045395519557838
Ask_Spectrum,25860,25860,1.0,25860,7218,0.2791183294663573,2.2770688321732404,72.37877030162413,137.1626836813612,1.0,0.15150157936919523,1.0,0.3177473079405363,0.39180419312808545,1.0,0.5039853468816171
SpotifyCares,43265,43265,1.0,43265,11052,0.2554489772333295,2.2549404830694555,64.4413267075003,129.56683231249278,1.0,0.2540721795294894,1.0,0.27684637595996914,0.34412259587999516,1.0,0.5026928678698876
AskAmex,11358,11358,1.0,11358,3453,0.3040147913365029,2.2822680049304456,67.15240359218173,96.8720725479838,1.0,0.06603884776766772,1.0,0.36076870047728293,0.4030072368015919,1.0,0.5020398270570368
KFC_UKI_Help,2103,2103,1.0,2103,623,0.29624346172135047,2.295292439372325,75.1887779362815,95.69852591535901,1.0,0.011497572014520768,1.0,0.3473397472529362,0.4310719529956993,1.0,0.4927158291779249
AldiUK,8114,8114,1.0,8114,2409,0.29689425684002957,2.27384767069263,83.87157998521074,110.02390929258073,1.0,0.04692140870303144,1.0,0.3484643292279865,0.38486331725572925,1.0,0.4908962439601481
TMobileHelp,34317,34317,1.0,34317,8657,0.25226564093597925,2.251391438645569,50.37022466998864,124.96683859311712,1.0,0.201340106548489,1.0,0.27134553165771097,0.3364752062784643,1.0,0.488966722062704
AskPlayStation,20597,19098,0.9272224110307327,20597,7471,0.39119279505707405,2.27033063067437,104.92591154051561,99.03256885537752,1.0,0.11165197303286031,0.6418880542782084,0.511413363891487,0.3772848899239137,1.0,0.47958899261444254
AirbnbHelp,8875,8875,1.0,8875,2415,0.27211267605633804,2.271323943661972,68.75042253521127,145.31921126760562,1.0,0.05140611003724482,1.0,0.3056414526225865,0.37942525518993475,1.0,0.4778587088322118
TacoBellTeam,4082,4082,1.0,4082,1132,0.2773150416462518,2.277315041646252,40.0485056344929,55.38633023027928,1.0,0.02316015275093112,1.0,0.31463120439256503,0.39233471896513467,1.0,0.4774883356609827
AlaskaAir,7478,7478,1.0,7478,2052,0.2744049211018989,2.267718641347954,75.9416956405456,90.77587590264777,1.0,0.04317335344868229,1.0,0.30960248027422005,0.3716566425343618,1.0,0.4758467432788749
NortonSupport,2011,2011,1.0,2011,563,0.2799602187966186,2.2739930382894085,63.93038289408255,116.81103928393834,1.0,0.0109554004997407,1.0,0.3192021030651842,0.38517655161270786,1.0,0.47498702134204496
SCsupport,1397,1329,0.9513242662848962,1397,511,0.38449962377727614,2.260558339298497,103.39799570508232,113.19337848006019,1.0,0.006936259488001508,0.7604844848939336,0.4998474815405833,0.35622780792516356,1.0,0.4746839549235947
VirginAmerica,2815,2815,1.0,2815,772,0.27424511545293073,2.2706927175843696,91.56021314387212,90.32113676731794,1.0,0.015693508085427372,1.0,0.3093263341459185,0.3780651054804576,1.0,0.4715496229569526
DoorDash_Help,1581,1581,1.0,1581,434,0.27450980392156865,2.270714737507906,54.46805819101834,119.51106894370652,1.0,0.00842133798500778,1.0,0.30978371907750496,0.3781125534450834,1.0,0.47024189400926975
BofA_Help,12683,12683,1.0,12683,3271,0.25790428132145393,2.2556177560514072,43.8498777891666,104.51699124812741,1.0,0.07384729621422846,1.0,0.2810891716440798,0.34558196627409804,1.0,0.46821260399088926
AskPapaJohns,3908,3908,1.0,3908,1036,0.26509723643807576,2.264073694984647,37.97082906857728,98.86847492323439,1.0,0.022134741407760124,1.0,0.29351868661634434,0.3638026059014898,1.0,0.46524307544675325
asksalesforce,710,710,1.0,710,192,0.2704225352112676,2.2661971830985914,71.34366197183098,100.76760563380282,1.0,0.0032883881005138843,1.0,0.3027208684400864,0.3683782434483906,1.0,0.46514958684180685
NeweggService,1079,1079,1.0,1079,294,0.27247451343836887,2.2613531047265987,47.48656163113994,108.28359592215014,1.0,0.005462967328273066,1.0,0.3062667120722228,0.35794034801894636,1.0,0.4645606766911107
TfL,2243,2243,1.0,2243,603,0.2688363798484173,2.259028087382969,95.8372715113687,122.1239411502452,1.0,0.012322615623968695,1.0,0.2999799724507139,0.3529304604736162,1.0,0.46304460695473115
AzureSupport,7565,7565,1.0,7565,1978,0.26146728354263055,2.250760079312624,61.470323859881034,99.8699272967614,1.0,0.04368605912026779,1.0,0.2872460833356303,0.3351147694338034,1.0,0.4619339907115033
McDonalds,8478,8478,1.0,8478,2158,0.25454116536919086,2.248761500353857,23.942911063930172,86.50117952347252,1.0,0.04906652208759606,1.0,0.27527766588540803,0.33080828292034997,1.0,0.4585582607672116
KeyBank_Help,555,555,1.0,555,145,0.26126126126126126,2.2594594594594595,72.78018018018018,130.38558558558557,1.0,0.00237494696148225,1.0,0.2868900742977062,0.353859969924087,1.0,0.45731400566642577
LondonMidland,7786,6822,0.8761880297970717,7786,3285,0.4815303430079156,2.2599537631646545,105.6446185461084,98.82937554969217,1.0,0.039307434821554854,0.3907664958268606,0.667517758623203,0.3549250828287508,1.0,0.4572551302823942
CenturyLinkHelp,3801,3801,1.0,3801,968,0.2546698237305972,2.2536174690870823,48.43278084714549,115.84872401999473,1.0,0.02150417236339635,1.0,0.27549998911744267,0.34127179939421837,1.0,0.4552051910867557
PandoraSupport,1043,1043,1.0,1043,277,0.26558005752636626,2.245445829338447,47.964525407478426,103.32406519654842,1.0,0.00525081325727217,1.0,0.29435300739946224,0.3236637603343018,1.0,0.4540888169381535
AskRobinhood,432,432,1.0,432,112,0.25925925925925924,2.2546296296296298,70.37731481481481,71.47222222222223,1.0,0.0016500872188958558,1.0,0.2834305901976477,0.34345277688665604,1.0,0.4540497498804047
Postmates_Help,3346,3346,1.0,3346,844,0.2522414823670054,2.251643753735804,65.5857740585774,80.55050806933652,1.0,0.018822780632690585,1.0,0.27130378535318095,0.33701888834239824,1.0,0.452559469400972
comcastcares,33031,33031,1.0,33031,6992,0.21167993702885168,2.210953346855984,47.648602827646755,127.47706699766886,1.0,0.19376149167884588,1.0,0.20121293577819474,0.2493402466324005,1.0,0.44898422839570773
BoostCare,907,907,1.0,907,220,0.24255788313120177,2.2403528114663724,57.58985667034179,116.10143329658214,1.0,0.004449342322379897,1.0,0.25457040668817427,0.3126894564757258,1.0,0.4397988817660734
AskVirginMoney,914,914,1.0,914,223,0.2439824945295405,2.237417943107221,77.24070021881838,105.5328227571116,1.0,0.004490594502852293,1.0,0.25703215271859103,0.3063654776546719,1.0,0.43928086024708213
DellCares,5336,5336,1.0,5336,1276,0.2391304347826087,2.2220764617691153,57.30603448275862,143.1624812593703,1.0,0.03055018622412899,1.0,0.24864773375684243,0.27330804843020584,1.0,0.43536596705791974
CarlsJr,196,196,1.0,196,52,0.2653061224489796,2.1989795918367347,56.13265306122449,109.64285714285714,1.0,0.0002592994201122059,1.0,0.2938796442141509,0.22353950742237588,1.0,0.43292365463274296
AskPayPal,11298,11298,1.0,11298,2506,0.2218091697645601,2.2193308550185873,68.75039830058418,130.5398300584174,1.0,0.06568525764933289,1.0,0.21871637461588478,0.2673918856533847,1.0,0.432230341045309
askpanera,2153,2153,1.0,2153,484,0.22480260102183,2.22480260102183,28.62749651648862,119.47840222944728,1.0,0.011792230446466457,1.0,0.22388906067153683,0.2791822631436712,1.0,0.4253616169194886
airtel_care,9881,9881,1.0,9881,2118,0.21435077421313634,2.2131363222345914,54.75589515231252,110.7783625139156,1.0,0.05733463768799208,1.0,0.20582817530524714,0.254044065806487,1.0,0.4240241932904699
HotelTonightCX,152,152,1.0,152,34,0.2236842105263158,2.223684210526316,55.76315789473684,107.33552631578948,1.0,0.0,1.0,0.22195646813016132,0.2767723840820618,1.0,0.42194141725546075
IHGService,2643,2643,1.0,2643,589,0.22285281876655316,2.2171774498675747,43.58418463866818,162.27582292849036,1.0,0.014679883079534203,1.0,0.220519812936539,0.2627517836448267,1.0,0.4216422772258339
ArbysCares,1904,1904,1.0,1904,418,0.21953781512605042,2.2195378151260505,30.789915966386555,93.0719537815126,1.0,0.010324831455376927,1.0,0.21479144584475438,0.2678378379675045,1.0,0.42006996763800264
DropboxSupport,5954,5954,1.0,5954,1280,0.21498152502519316,2.212798118911656,70.39032583137387,144.56130332549546,1.0,0.0341921644429777,1.0,0.2069181204717492,0.2533153139887827,1.0,0.4195769318278769
Kimpton,1339,1339,1.0,1339,319,0.23823749066467514,2.196415235250187,55.88125466766243,103.14413741598207,1.0,0.0069951911743906465,1.0,0.24710471533071562,0.21801389783501862,1.0,0.41913323240109657
HiltonHelp,833,833,1.0,833,184,0.22088835534213686,2.2172869147659062,37.41536614645858,116.81272509003601,1.0,0.004013247843100278,1.0,0.21712519596057264,0.26298765579103006,1.0,0.41853773951499795
AskTigogh,715,715,1.0,715,156,0.21818181818181817,2.2167832167832167,39.883916083916084,96.00979020979021,1.0,0.0033178539437084533,1.0,0.21244826643553885,0.261902300338952,1.0,0.41677851078719375
AskLyft,11809,11809,1.0,11809,2383,0.20179524091794393,2.200609704462698,44.13345753239055,127.55432297400287,1.0,0.06869666682381784,1.0,0.18413205923791193,0.22705203216318048,1.0,0.41438935756877326
PearsonSupport,841,841,1.0,841,186,0.2211652794292509,2.205707491082045,50.26516052318668,132.51367419738406,1.0,0.0040603931922115885,1.0,0.21760372419148163,0.23803661159567135,1.0,0.4137005182150211
ask_progressive,612,612,1.0,612,130,0.21241830065359477,2.212418300653595,33.552287581699346,141.01470588235293,1.0,0.002710857573900335,1.0,0.2024888372095149,0.25249689137969444,1.0,0.4117882009535734
MOO,630,630,1.0,630,132,0.20952380952380953,2.187301587301587,44.05238095238095,88.12698412698413,1.0,0.0028169346094007825,1.0,0.1974871209119094,0.19837604374532095,1.0,0.39948473194451717
OfficeSupport,218,218,1.0,218,44,0.2018348623853211,2.1926605504587156,69.38073394495413,115.07339449541284,1.0,0.0003889491301683089,1.0,0.1842005256211999,0.2099233996608984,1.0,0.39732262744457336
Ask_WellsFargo,7578,7578,1.0,7578,1435,0.1893639482713117,2.1875164951174453,32.11243072050673,140.92359461599366,1.0,0.043762670312573665,1.0,0.16265063254044002,0.1988391215769819,1.0,0.3973155481400431
AskCiti,4081,4081,1.0,4081,778,0.19063954913011516,2.1798578779710853,43.23131585395736,171.32394021073267,1.0,0.023154259582292207,1.0,0.16485488652452127,0.18233653041948822,1.0,0.39055462395771245
askvisa,709,709,1.0,709,132,0.1861777150916784,2.1861777150916786,35.55712270803949,130.94358251057827,1.0,0.0032824949318749704,1.0,0.15714478238994198,0.19595435282658843,1.0,0.38699080426867527
ChaseSupport,8811,8811,1.0,8811,1456,0.16524798547270458,2.1542390194075587,46.164794007490634,133.50209964816707,1.0,0.05102894724435435,1.0,0.12097795200567825,0.12713367320439992,1.0,0.37192590969145434
DunkinDonuts,1290,1290,1.0,1290,217,0.1682170542635659,2.1589147286821704,77.01240310077519,85.5875968992248,1.0,0.006706425911083872,1.0,0.12610853941952355,0.13720877123523592,1.0,0.36661560125512105
mediatemplehelp,305,305,1.0,305,50,0.16393442622950818,2.1540983606557376,68.19344262295083,134.0295081967213,1.0,0.000901654801753807,1.0,0.11870810546617502,0.12683058534536903,1.0,0.36115887966927707
JackBox,266,266,1.0,266,44,0.16541353383458646,2.1240601503759398,56.95864661654135,57.16541353383459,1.0,0.0006718212248361699,1.0,0.12126402161257592,0.06210502276963294,1.0,0.3489345752826666
Walmart,2643,2643,1.0,2643,363,0.1373439273552781,2.1267499054105183,22.356413166855845,83.14718123344684,1.0,0.014679883079534203,1.0,0.07275939613619817,0.06790083770608757,1.0,0.3383439629979838
TwitterSupport,1290,1290,1.0,1290,167,0.12945736434108526,2.12015503875969,48.77441860465116,123.0906976744186,1.0,0.006706425911083872,1.0,0.05913131818001937,0.05369038874422321,1.0,0.32981875838506725
HPSupport,7200,7200,1.0,7200,718,0.09972222222222223,2.0970833333333334,64.58416666666666,138.8113888888889,1.0,0.04153505256706426,1.0,0.007748626619113126,0.003976071566447118,1.0,0.3114268128124362
AskDSC,210,210,1.0,210,20,0.09523809523809523,2.0952380952380953,21.81904761904762,91.83809523809524,1.0,0.0003418037810569987,1.0,0.0,0.0,1.0,0.3000683607562114
sizehelpteam,1860,1482,0.7967741935483871,1860,590,0.398110661268556,2.110215053763441,91.48064516129033,95.78947368421052,1.0,0.007837914289755315,0.0,0.5233675218498812,0.032271964847334064,1.0,0.26503223238238227
